timestamp,tollID,tagRef,tagHomeID,charge
2022-01-10 21:54,AM02,AMHJ7XVG0,AM,2.0
2022-01-10 22:24,EG09,EGYTJXEPQ,EG,0.9
2022-01-10 22:26,KO09,KOWM31YIH,KO,2.05
2022-01-10 22:49,KO07,KOJDP0LVS,KO,1.85
2022-01-10 23:26,EG02,EGIGQPKI7,EG,3.0
2022-01-11 00:17,NAO06,NAO5UQPGB7,NAO,2.5
2022-01-11 00:54,EG21,NORCBPLJD,NO,1.6
2022-01-11 01:05,AM10,GEX7EEDTJ,GE,3.1
2022-01-11 01:14,NAO03,NAOLY8OZCY,NAO,2.5
2022-01-11 01:18,NAO01,NAOBMYOFQE,NAO,2.5
2022-01-11 01:50,AM03,EGSEIMVIH,EG,2.2
2022-01-11 02:02,KO05,EGC11ERTJ,EG,1.9
2022-01-11 02:07,EG28,EGF1T2TAL,EG,1.4
2022-01-11 02:16,NAO25,NAO5ZJA8DZ,NAO,2.5
2022-01-11 02:36,EG25,MOV86WZS3,MO,1.8
2022-01-11 02:46,KO02,AMXAJI0Y6,AM,3.4
2022-01-11 03:22,NO12,NOXFGCAQV,NO,3.35
2022-01-11 03:23,EG03,EGC11ERTJ,EG,1.2
2022-01-11 03:46,NO10,NAOP0J43D5,NAO,4.2
2022-01-11 03:54,NAO26,NAOHAFEYUH,NAO,2.5
2022-01-11 04:03,OO06,KOJDP0LVS,KO,3.5
2022-01-11 04:11,KO05,KOWM31YIH,KO,1.9
2022-01-11 04:15,OO10,OOQ0OXFQ8,OO,2.5
2022-01-11 04:18,NAO02,NAOP0J43D5,NAO,2.5
2022-01-11 04:38,OO04,NAOVZ41NAM,NAO,2.4
2022-01-11 04:38,AM05,AMH9SDBDW,AM,3.6
2022-01-11 05:23,AM06,EG7UR23GD,EG,3.6
2022-01-11 06:25,NAO10,NAO5UQPGB7,NAO,2.5
2022-01-11 06:38,NO01,NOE1V2ISQ,NO,3.85
2022-01-11 06:47,AM10,EGRHOCN9J,EG,3.1
2022-01-11 06:59,EG17,EG7UR23GD,EG,2.1
2022-01-11 07:06,KO05,KOWM31YIH,KO,1.9
2022-01-11 07:14,AM07,AMV3A3ZMF,AM,2.8
2022-01-11 08:23,MO03,MOV86WZS3,MO,2.1
2022-01-11 08:25,AM04,NAOHL1N13J,NAO,2.2
2022-01-11 09:14,EG24,EGSEIMVIH,EG,1.4
2022-01-11 09:34,NAO38,NOE1V2ISQ,NO,2.5
2022-01-11 09:58,NO01,NORCBPLJD,NO,3.85
2022-01-11 10:21,KO07,NAOP0J43D5,NAO,1.85
2022-01-11 10:31,NO02,NOXFGCAQV,NO,3.85
2022-01-11 10:36,EG33,EGRHOCN9J,EG,2.0
2022-01-11 10:57,AM01,AMXAJI0Y6,AM,2.0
2022-01-11 11:13,EG34,EGVWPVS7H,EG,2.0
2022-01-11 11:40,KO10,NO7PTX63C,NO,2.05
2022-01-11 12:53,OO01,OO3KKV9RF,OO,2.3
2022-01-11 12:56,NAO11,NAO5UQPGB7,NAO,2.5
2022-01-11 12:56,NAO29,NAONSM43D8,NAO,2.5
2022-01-11 14:10,NAO23,NAO09SKDGI,NAO,2.5
2022-01-11 14:30,AM02,NAOBMYOFQE,NAO,2.0
2022-01-11 14:55,EG12,EGSEIMVIH,EG,0.5
2022-01-11 15:06,AM04,AMLJH75LX,AM,2.2
2022-01-11 15:08,KO10,OO1B0Z3NX,OO,2.05
2022-01-11 15:11,EG10,EGIGQPKI7,EG,0.9
2022-01-11 15:13,KO07,KOIXA11DP,KO,1.85
2022-01-11 15:18,EG24,EGSEIMVIH,EG,1.4
2022-01-11 15:45,EG10,EGC11ERTJ,EG,0.9
